"website_id","session_id","visit_id","event_id","hostname","browser","os","device","screen","language","country","region","city","url_path","url_query","utm_source","utm_medium","utm_campaign","utm_content","utm_term","referrer_path","referrer_query","referrer_domain","page_title","gclid","fbclid","msclkid","ttclid","li_fat_id","twclid","event_type","event_name","tag","distinct_id","created_at","job_id"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","6637bfea-6dbf-5187-addc-9c7fefcb64ab","11380cab-5189-41d2-99bb-966832ef7e3a","d99ea49b-9d72-4caa-8047-8a11b1ca09b1","dev.offerkhao.com","safari","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/","","","","","","","","","","","","","","","","",1,"","","","2023-06-02 14:55:06","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","6637bfea-6dbf-5187-addc-9c7fefcb64ab","6c77cc2d-ddc8-4a18-b28f-2f369c007fa5","7fb88b0d-6cd0-4a89-a25d-af8b588b8c35","dev.offerkhao.com","safari","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/","","","","","","","","","","","","","","","","",1,"","","","2023-06-05 17:03:14","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","2d9c4bf4-8ac0-5bd2-8daf-905a4b53ecaf","1c697220-bba8-4321-86a2-5ba91c344083","f73372bc-2ffb-431f-b7f4-28c8541eb2bb","dev.offerkhao.com","chrome","Linux","laptop","501x1086","en-US","BD","BD-C","Dhaka","/","","","","","","","android-app://com.google.android.googlequicksearchbox/","","","","","","","","","",1,"","","","2023-05-01 04:28:51","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","be710dd8-6491-509b-851e-5d82a578af9d","7924e0f8-c970-44e6-932b-e9f2adbcabaa","b9ad6d8c-6bfd-4626-a54e-2af901db860b","dev.offerkhao.com","chrome","Android OS","tablet","501x1086","en-US","BD","BD-C","Dhaka","/","","","","","","","android-app://com.google.android.googlequicksearchbox/","","","","","","","","","",1,"","","","2023-05-01 04:30:43","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","be710dd8-6491-509b-851e-5d82a578af9d","7924e0f8-c970-44e6-932b-e9f2adbcabaa","bd4e4d1f-703b-438b-aeda-42d4a7829971","dev.offerkhao.com","chrome","Android OS","tablet","501x1086","en-US","BD","BD-C","Dhaka","/","","","","","","","/popular-areas/wari/burger-xpress-~-wari","","","","","","","","","",1,"","","","2023-05-01 04:30:57","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","be710dd8-6491-509b-851e-5d82a578af9d","7924e0f8-c970-44e6-932b-e9f2adbcabaa","d95c4237-8d82-4176-8ce7-37568bcb01a0","dev.offerkhao.com","chrome","Android OS","tablet","501x1086","en-US","BD","BD-C","Dhaka","/","","","","","","","/popular-areas/wari","","","","","","","","","",1,"","","","2023-05-01 04:31:07","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","0ee5ec95-258e-59d0-85d4-c67976839867","17b42e7e-748f-48a4-a50e-00fdaf8f15e7","dc0d3c33-bfa8-4ea8-963e-7ef1401aa153","dev.offerkhao.com","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/","","","","","","","","","","","","","","","","",1,"","","","2023-05-01 15:27:54","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","00cb6ef0-254d-5e03-be93-a357af324717","97867d47-1b17-43e5-9004-f93cebaaff6e","b8b44aa5-d0d4-4f39-a805-58c0460e9649","localhost","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/","","","","","","","","","","","","","","","","",1,"","","","2023-05-01 15:31:33","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","00cb6ef0-254d-5e03-be93-a357af324717","97867d47-1b17-43e5-9004-f93cebaaff6e","ef030549-fe5e-4e2b-9c0c-c73fe66177c5","localhost","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/","","","","","","","/","","localhost","","","","","","","",1,"","","","2023-05-01 15:33:38","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","00cb6ef0-254d-5e03-be93-a357af324717","97867d47-1b17-43e5-9004-f93cebaaff6e","df9c2a42-0cf1-4dde-b6cb-8f53a408aa4f","localhost","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/","","","","","","","/","","localhost","","","","","","","",1,"","","","2023-05-01 15:33:50","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","00cb6ef0-254d-5e03-be93-a357af324717","97867d47-1b17-43e5-9004-f93cebaaff6e","05c3d730-3b1a-4c87-9b67-069b6bc12685","localhost","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/","","","","","","","/","","localhost","","","","","","","",1,"","","","2023-05-01 15:37:31","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","00cb6ef0-254d-5e03-be93-a357af324717","97867d47-1b17-43e5-9004-f93cebaaff6e","36c716f8-b08a-4271-a384-77f8df571a29","localhost","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/","","","","","","","/","","localhost","","","","","","","",1,"","","","2023-05-01 15:40:24","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","00cb6ef0-254d-5e03-be93-a357af324717","97867d47-1b17-43e5-9004-f93cebaaff6e","2c72bc95-3df5-45dd-847f-b099025183de","localhost","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/","","","","","","","/","","localhost","","","","","","","",1,"","","","2023-05-01 15:43:16","00000000-0000-0000-0000-000000000000"
